stock_ID,date,shrout_adj_factor,price,return_incl_divs,shrout,return_ex_divs,market_return,MktRF,SMB,HML,RF,MOM
10006,30jun1982,,30.875,-.071428575,9208,-.071428575,-.02391208,-.0309,-.0039,.0154,.0096,.0499
10006,30jul1982,,28.5,-.07692308,9208,-.07692308,-.02052648,-.0319,.0086,.002,.0105,.0447
10006,31aug1982,,30.875,.107543856,9208,.083333336,.1190134,.1114,-.0411,.0116,.0076,-.0352
10006,30sep1982,,32.125,.040485829,7877,.040485829,.0167605,.0129,.0289,.0034,.0051,.0416
10006,29oct1982,,31,-.035019454,7877,-.035019454,.1186357,.113,.0236,-.0369,.0059,.0003
10006,30nov1982,,31.75,.046451613,7889,.024193548,.05193459,.0467,.0479,-.0192,.0063,.059
10006,31dec1982,,32.75,.031496063,8217,.031496063,.01451601,.0055,-.0018,.0002,.0067,.0002
10006,31jan1983,,33.625,.026717557,8217,.026717557,.04185019,.036,.027,-.0086,.0069,-.017
10006,28feb1983,,31.625,-.038959108,8217,-.059479553,.03021874,.0259,.0324,.0068,.0062,.0382
10006,31mar1983,,31.875,.007905139,8217,.007905139,.0346729,.0282,.0177,.0207,.0063,.0093
10006,29apr1983,,34,.06666667,8217,.06666667,.0741879,.0667,.0052,.0058,.0071,.0181
10006,31may1983,,33.375,-.008088236,8275,-.018382354,.01322562,.0052,.0615,-.014,.0069,-.0158
10006,30jun1983,,34.5,.033707865,8275,.033707865,.03783816,.0307,.0091,-.0389,.0067,.0178
10006,29jul1983,,34,-.014492754,8275,-.014492754,-.03156697,-.0407,.0148,.0558,.0074,-.0312
10006,31aug1983,,31.75,-.055882353,8275,-.066176474,.00346336,-.005,-.0429,.0554,.0076,-.0544
10006,30sep1983,,50,.574803174,8319,.574803174,.01605885,.0092,.0056,.0106,.0076,-.0011
10006,31oct1983,,48.75,-.025,8319,-.025,-.02804895,-.0344,-.036,.05,.0076,-.0456
10006,30nov1983,,51,.053333335,8362,.046153847,.02955588,.0216,.0205,-.0065,.007,-.0008
10006,30dec1983,,50,-.019607844,8385,-.019607844,-.01046447,-.0178,-.0028,.0168,.0073,.0077
10006,31jan1984,,45.625,-.087499999,8385,-.087499999,-.01302285,-.0192,-.0042,.076,.0076,-.0249
10006,29feb1984,,47.75,.054246575,8385,.046575341,-.03907314,-.0482,-.0168,.0331,.0071,.0019
10006,30mar1984,,51,.068062827,8385,.068062827,.01338927,.0063,.0008,.0049,.0073,.011
10006,30apr1984,,52.625,.031862747,8385,.031862747,.00253373,-.0052,-.0119,.0124,.0081,.0205
10006,31may1984,,52.625,0,8385,0,-.05234207,-.0597,.0004,.0023,.0078,.0153
10006,29jun1984,,,,8405,,.02338531,.0182,-.0028,-.0263,.0075,-.007
10007,31jan1986,,4.75,,12892,,.00982942,.0065,.012,.0053,.0056,.0296
10007,28feb1986,,3.8125,-.197368428,12892,-.197368428,.07250004,.0713,-.0064,-.0088,.0053,.0277
10007,31mar1986,,4.75,.245901644,12892,.245901644,.05388493,.0488,-.0051,-.0051,.006,.0245
10007,30apr1986,,5,.052631579,12892,.052631579,-.00789997,-.0131,.0283,-.029,.0052,-.005
10007,30may1986,,6.625,.324999988,12892,.324999988,.05084357,.0462,-.0131,-.0012,.0049,.0202
10007,30jun1986,,5.875,-.113207549,12892,-.113207549,.01424553,.0103,-.0093,.0139,.0052,.0514
10007,31jul1986,,4.5625,-.223404258,12892,-.223404258,-.05970048,-.0645,-.0337,.0476,.0052,.018
10007,29aug1986,,4.125,-.09589041,12892,-.09589041,.06618101,.0607,-.0417,.0352,.0046,-.0502
10007,30sep1986,,2.9375,-.287878782,12892,-.287878782,-.07902107,-.086,.0228,.032,.0045,-.0586
10007,31oct1986,,2,-.319148928,12892,-.319148928,.04930313,.0466,-.0256,-.0144,.0046,.027
10007,28nov1986,,2,0,12892,0,.01509289,.0117,-.0198,-.0009,.0039,-.0033
10007,31dec1986,,1.75,-.125,13380,-.125,-.02638821,-.0327,.0008,.0031,.0049,.004
10007,30jan1987,,2.3125,.321428567,13380,.321428567,.1284963,.1247,-.0179,-.0321,.0042,.0208
10007,27feb1987,,2.25,-.027027028,13380,-.027027028,.04791798,.0439,.0346,-.0596,.0043,-.0217
10007,31mar1987,,2.3125,.027777778,8254,.027777778,.02366442,.0164,.004,.0159,.0047,.016
10007,30apr1987,,3,.297297299,8254,.297297299,-.01700054,-.0211,-.017,-.0032,.0044,.0025
10007,29may1987,,2.625,-.125,8254,-.125,.00512465,.0011,-.0055,.0016,.0038,-.0068
10007,30jun1987,,8.125,-.226190478,2064,-.226190478,.04366169,.0394,-.0217,.0106,.0048,-.002
10007,31jul1987,,7.875,-.030769231,2064,-.030769231,.04424779,.0385,-.0063,.0071,.0046,.0268
10007,31aug1987,,3.9375,-.5,2064,-.5,.03714636,.0352,-.0075,-.0091,.0047,-.0089
10007,30sep1987,,4.75,.206349209,2064,.206349209,-.02077383,-.0259,.0054,.0028,.0045,.0072
10007,30oct1987,,2.25,-.526315808,2064,-.526315808,-.225363,-.2324,-.084,.042,.006,-.0787
10007,30nov1987,,1.4375,-.361111104,2064,-.361111104,-.07227264,-.0777,.0264,.0323,.0035,-.0113
10007,28feb1989,,2.125,,4380,,-.01644639,-.0225,.0277,.0086,.0061,.0093
10007,31mar1989,,1.8125,-.14705883,4380,-.14705883,.02146523,.0157,.0073,.0048,.0067,.0356
10007,28apr1989,,1.9375,.068965517,4380,.068965517,.04820446,.0433,-.006,-.0145,.0067,.017
10007,31may1989,,1.65625,-.145161286,4380,-.145161286,.03933809,.0335,-.0004,-.0084,.0079,.0155
10007,30jun1989,,1.34375,-.188679248,4085,-.188679248,-.00486614,-.0135,-.0101,.0217,.0071,.0066
10007,31jul1989,,1.25,-.069767445,4085,-.069767445,.07713073,.072,-.0402,-.0281,.007,.054
10007,31aug1989,,1.15625,-.075000003,4085,-.075000003,.0221267,.0144,.0053,.0065,.0074,-.0014
10007,29sep1989,,.9375,-.189189196,4090,-.189189196,-.00147436,-.0076,.003,-.0134,.0065,.0339
10007,31oct1989,,1.65625,.766666651,4090,.766666651,-.02928132,-.0367,-.0326,-.0109,.0068,.0137
10007,30nov1989,,4.71875,1.8490566,4090,1.8490566,.0178154,.0103,-.0122,-.0108,.0069,.0257
10007,29dec1989,,6.84375,.450331122,4120,.450331122,.01829512,.0116,-.0238,.0024,.0061,.0278
10007,31jan1990,,3.59375,-.474885851,4120,-.474885851,-.07011517,-.0785,-.013,.0089,.0057,-.0332
10007,28feb1990,,3.0625,-.14782609,4120,-.14782609,.01490096,.0111,.0105,.0063,.0057,-.0052
10007,30mar1990,,2.21875,-.275510192,4134,-.275510192,.02414006,.0183,.0148,-.0286,.0064,.0166
10007,30apr1990,,2.59375,.169014081,4134,.169014081,-.02828588,-.0336,-.005,-.0258,.0069,.0246
10007,31may1990,,2.1875,-.156626508,4134,-.156626508,.0889361,.0842,-.0256,-.0374,.0068,.0305
10007,29jun1990,,1.96875,-.100000001,4134,-.100000001,-.00419626,-.0109,.0145,-.0201,.0063,.0242
10007,31jul1990,,1.3125,-.333333343,4134,-.333333343,-.00940477,-.019,-.032,-.0001,.0068,.0593
10007,31aug1990,,.875,-.333333343,4134,-.333333343,-.09189577,-.1014,-.0359,.016,.0066,.018
10007,28sep1990,,.46875,-.464285702,4134,-.464285702,-.05384322,-.0612,-.0367,.0074,.006,.0552
10007,31oct1990,,,,4134,,-.01250398,-.0192,-.0554,.0025,.0068,.0673
10008,31jan1986,,14.625,,2945,,.00982942,.0065,.012,.0053,.0056,.0296
10008,28feb1986,,16.375,.11965812,2945,.11965812,.07250004,.0713,-.0064,-.0088,.0053,.0277
10008,31mar1986,,17.75,.083969466,2945,.083969466,.05388493,.0488,-.0051,-.0051,.006,.0245
10008,30apr1986,,18.25,.028169014,2945,.028169014,-.00789997,-.0131,.0283,-.029,.0052,-.005
10008,30may1986,,18,-.01369863,2945,-.01369863,.05084357,.0462,-.0131,-.0012,.0049,.0202
10008,30jun1986,,17.125,-.048611112,2945,-.048611112,.01424553,.0103,-.0093,.0139,.0052,.0514
10008,31jul1986,,14.5,-.153284669,2945,-.153284669,-.05970048,-.0645,-.0337,.0476,.0052,.018
10008,29aug1986,,13.625,-.060344826,2945,-.060344826,.06618101,.0607,-.0417,.0352,.0046,-.0502
10008,30sep1986,,11.5,-.155963302,2945,-.155963302,-.07902107,-.086,.0228,.032,.0045,-.0586
10008,31oct1986,,12.5,.086956523,2945,.086956523,.04930313,.0466,-.0256,-.0144,.0046,.027
10008,28nov1986,,13.75,.100000001,2945,.100000001,.01509289,.0117,-.0198,-.0009,.0039,-.0033
10008,31dec1986,,15,.090909094,2945,.090909094,-.02638821,-.0327,.0008,.0031,.0049,.004
10008,30jan1987,,15,0,2945,0,.1284963,.1247,-.0179,-.0321,.0042,.0208
10008,27feb1987,,15.75,.050000001,2945,.050000001,.04791798,.0439,.0346,-.0596,.0043,-.0217
10008,31mar1987,,17.375,.103174604,2945,.103174604,.02366442,.0164,.004,.0159,.0047,.016
10008,30apr1987,,16.5,-.050359711,2945,-.050359711,-.01700054,-.0211,-.017,-.0032,.0044,.0025
10008,29may1987,,15.5,-.060606062,2945,-.060606062,.00512465,.0011,-.0055,.0016,.0038,-.0068
10008,30jun1987,,15,-.032258064,2945,-.032258064,.04366169,.0394,-.0217,.0106,.0048,-.002
10008,31jul1987,,15,0,2945,0,.04424779,.0385,-.0063,.0071,.0046,.0268
10008,31aug1987,,18,.200000003,2945,.200000003,.03714636,.0352,-.0075,-.0091,.0047,-.0089
